Index,Season,League,Team,Entropy,X,Colour
208,2010/2011,England,Tottenham,1.0014971401390522,1.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
209,2010/2011,England,Bolton,1.0128859683675926,1.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
210,2010/2011,England,Stoke,1.0104093484264502,1.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
211,2010/2011,England,Fulham,1.0157581087638656,1.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
212,2010/2011,England,Chelsea,0.8478680112765321,1.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
213,2010/2011,England,Birmingham,1.0084228001350746,1.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
214,2010/2011,England,Wolverhampton Wanderers,0.9890810688636297,1.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
215,2010/2011,England,Blackpool,0.9603246481587424,1.8,"(0.2980392156862745, 0.4470588235294118, 0.6901960784313725)"
216,2010/2011,France,Auxerre,1.0488484532047684,1.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
217,2010/2011,France,Bordeaux,1.0357069236272327,1.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
218,2010/2011,France,Caen,1.0319190371040317,1.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
219,2010/2011,France,Nice,1.0299887149822353,1.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
220,2010/2011,France,Lorient,1.050810215106754,1.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
221,2010/2011,France,Lyon,0.9874669254883817,1.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
222,2010/2011,France,Toulouse,1.0383286613629557,1.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
223,2010/2011,France,Monaco,1.0458372761793633,1.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
224,2010/2011,France,Paris Saint Germain,1.0198176806120447,1.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
225,2010/2011,France,Nancy,1.0331644262880606,1.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
226,2010/2011,France,Lille,0.9922912970606843,1.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
227,2010/2011,France,Rennes,1.046763036407001,1.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
228,2010/2011,France,Marseille,0.9868807306030536,1.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
229,2010/2011,France,Sochaux,1.038811438472933,1.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
230,2010/2011,France,Valenciennes,1.042214945013847,1.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
231,2010/2011,France,Saint-Etienne,1.042571970383202,1.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
232,2010/2011,France,Lens,1.0289643243297917,1.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
233,2010/2011,France,Montpellier,1.04777534810702,1.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
234,2010/2011,France,Arles-Avignon,0.9373510806544606,1.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
235,2010/2011,France,Brest,1.0394018684101567,1.9,"(0.3333333333333333, 0.6588235294117647, 0.40784313725490196)"
236,2010/2011,Germany,Bayern Munich,0.8964411685810767,2.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
237,2010/2011,Germany,Hamburger SV,1.0373114997123234,2.0,"(0.7686274509803922, 0.3058823529411765, 0.3215686274509804)"
